name,type,typeLocal,ref,substitutionGroup,substitutionGroupLocal,abstract,nillable,documentation
PreviousActivityAssociation,nc:PreviousActivityAssociationType,PreviousActivityAssociationType,,,,False,True,An association between an activity and a preceding activity.
PreviousActivityAssociationAugmentationPoint,,,,,,True,False,An augmentation point for nc:PreviousActivityAssociationType.
PrimaryDocument,nc:DocumentType,DocumentType,,,,False,True,A main or primary document.
ProbabilityPercent,nc:PercentType,PercentType,,,,False,True,A decimal value that indicates computed likelihood that what the content is true or accurate. This value is based on a calculation of probability of occurrence or truth.
Program,nc:ProgramType,ProgramType,,,,False,True,"A set of projects, activities, or services intended to meet a need."
ProgramAction,nc:ActivityType,ActivityType,,,,False,True,A project or service of a program.
ProgramAdministrator,nc:EntityType,EntityType,,,,False,True,An entity that runs a program.
ProgramAugmentationPoint,,,,,,True,False,An augmentation point for ProgramType.
ProgramCapacityQuantity,niem-xs:nonNegativeInteger,nonNegativeInteger,,,,False,True,A maximum number of people that can be enrolled in a program at a time.
ProgramCondition,nc:ConditionType,ConditionType,,,,False,True,A condition that must be met in order for a person to remain in a program.
ProgramFacility,nc:FacilityType,FacilityType,,,,False,True,A place where a program is located.
ProgramPerson,nc:PersonType,PersonType,,,,False,True,A person who attends a program.
ProgramPubliclyRunIndicator,niem-xs:boolean,boolean,,,,False,True,True if a program is run in the public sector; false if the program is run privately.
ProgramPurposeText,nc:TextType,TextType,,,,False,True,A purpose or reason for a program.
ProgramReferral,nc:ReferralType,ReferralType,,,,False,True,A recommendation or mandate for a person to attend a program.
ProgramRelease,nc:ReleaseType,ReleaseType,,,,False,True,A manner by which a person left a program.
ProgramResidentialIndicator,niem-xs:boolean,boolean,,,,False,True,True if a person resides at a program facility; false otherwise.
ProgramSupervisedIndicator,niem-xs:boolean,boolean,,,,False,True,True if a person will be officially supervised through the duration of a program; false otherwise.
ProgramSupervisor,nc:EntityType,EntityType,,,,False,True,An entity that oversees and manages a program.
Progress,nc:ProgressType,ProgressType,,,,False,True,A set of changes or advancements which bring someone closer to completing something.
ProgressAugmentationPoint,,,,,,True,False,An augmentation point for ProgressType.
ProgressComplianceAbstract,,,,,,True,False,A data concept for a description of the compliance or non-compliance of a person with an activity.
