source,target,relation
DocumentType,DocumentLocationURI,hasElement
DocumentType,DocumentManagementCyclePeriodText,hasElement
DocumentType,DocumentOtherRecipient,hasElement
DocumentType,DocumentPermanentRecordIndicator,hasElement
DocumentType,DocumentPhysicalMediumCategoryAbstract,hasElement
DocumentType,DocumentPhysicalMediumText,hasElement
DocumentType,DocumentPostDate,hasElement
DocumentType,DocumentPrivacyActIndicator,hasElement
DocumentType,DocumentPublicationDate,hasElement
DocumentType,DocumentReceivedDate,hasElement
DocumentType,DocumentRecipient,hasElement
DocumentType,DocumentRelatedResourceText,hasElement
DocumentType,DocumentRightsText,hasElement
DocumentType,DocumentSensitivityAbstract,hasElement
DocumentType,DocumentSequenceID,hasElement
DocumentType,DocumentSoftware,hasElement
DocumentType,DocumentSource,hasElement
DocumentType,DocumentSourceText,hasElement
DocumentType,DocumentStatus,hasElement
DocumentType,DocumentStatusCategoryAbstract,hasElement
DocumentType,DocumentSubjectAbstract,hasElement
DocumentType,DocumentSubmissionAmount,hasElement
DocumentType,DocumentSubmitter,hasElement
DocumentType,DocumentSummaryText,hasElement
DocumentType,DocumentSupplementalMarkingText,hasElement
DocumentType,DocumentTitleAlternativeText,hasElement
DocumentType,DocumentTitleText,hasElement
DocumentType,DocumentVitalIndicator,hasElement
DocumentType,DocumentAugmentationPoint,hasElement
DoubleListType,DoubleListSimpleType,extends
DoubleRangeType,ObjectType,extends
DoubleRangeType,RangeMaximumDoubleValue,hasElement
DoubleRangeType,RangeMinimumDoubleValue,hasElement
DoubleRangeType,DoubleRangeAugmentationPoint,hasElement
DrugType,SubstanceType,extends
DrugType,DrugDaysSupplyQuantity,hasElement
DrugType,DrugStrengthText,hasElement
DrugType,DrugClassScheduleAbstract,hasElement
DrugType,DrugCoverageExceptionReasonText,hasElement
DrugType,DrugAugmentationPoint,hasElement
EducationLevelType,ObjectType,extends
EducationLevelType,EducationLevelRepresentation,hasElement
EducationLevelType,EducationLevelAugmentationPoint,hasElement
EducationQualificationType,ObjectType,extends
EducationQualificationType,EducationQualificationRepresentation,hasElement
EducationQualificationType,EducationQualificationIssuedDate,hasElement
EducationQualificationType,EducationQualificationExpirationDate,hasElement
EducationQualificationType,EducationQualificationInstitution,hasElement
EducationQualificationType,EducationQualificationDescriptionText,hasElement
EducationQualificationType,EducationQualificationLevel,hasElement
EducationQualificationType,EducationQualificationAugmentationPoint,hasElement
EducationType,ObjectType,extends
EducationType,EducationDescriptionText,hasElement
EducationType,EducationInProgressIndicator,hasElement
EducationType,EducationLevel,hasElement
EducationType,EducationQualification,hasElement
EducationType,EducationStatus,hasElement
EducationType,EducationAugmentationPoint,hasElement
ElectronicAddressType,ObjectType,extends
ElectronicAddressType,ElectronicAddressDescriptionText,hasElement
ElectronicAddressType,MACAddressID,hasElement
ElectronicAddressType,IPv4AddressID,hasElement
ElectronicAddressType,IPv6AddressID,hasElement
ElectronicAddressType,URLID,hasElement
ElectronicAddressType,ElectronicAddressAugmentationPoint,hasElement
EmployerType,EntityType,extends
EmployerType,EmployerAugmentationPoint,hasElement
EmploymentAssociationType,AssociationType,extends
EmploymentAssociationType,Employee,hasElement
EmploymentAssociationType,Employer,hasElement
EmploymentAssociationType,EmployeeAssignmentAssociation,hasElement
EmploymentAssociationType,EmployeeContactInformation,hasElement
EmploymentAssociationType,EmployeeFullTimeIndicator,hasElement
EmploymentAssociationType,EmployeeHoursFixedIndicator,hasElement
EmploymentAssociationType,EmployeeHoursDailyQuantity,hasElement
EmploymentAssociationType,EmployeeHoursWeeklyQuantity,hasElement
EmploymentAssociationType,EmployeeHoursMonthlyQuantity,hasElement
EmploymentAssociationType,EmployeeIdentification,hasElement
EmploymentAssociationType,EmploymentLengthAbstract,hasElement
EmploymentAssociationType,EmploymentLocation,hasElement
EmploymentAssociationType,EmployeeOccupationAbstract,hasElement
EmploymentAssociationType,EmployeeOccupationCategoryAbstract,hasElement
EmploymentAssociationType,EmployeePayAbstract,hasElement
EmploymentAssociationType,EmployeePayHourlyIndicator,hasElement
EmploymentAssociationType,EmployeePosition,hasElement
EmploymentAssociationType,EmployeeRankAbstract,hasElement
EmploymentAssociationType,EmployeeRegistrationAbstract,hasElement
EmploymentAssociationType,EmployeeSchedule,hasElement
EmploymentAssociationType,EmployeeScheduleFixedIndicator,hasElement
EmploymentAssociationType,EmployeeShiftAbstract,hasElement
EmploymentAssociationType,EmploymentStatus,hasElement
EmploymentAssociationType,EmployeeSupervisor,hasElement
EmploymentAssociationType,EmployeeSupervisorIndicator,hasElement
EmploymentAssociationType,EmploymentAssociationAugmentationPoint,hasElement
EmploymentPositionBasisCodeType,EmploymentPositionBasisCodeSimpleType,extends
EmploymentPositionOrganizationAssociationType,AssociationType,extends
EmploymentPositionOrganizationAssociationType,EmploymentPosition,hasElement
EmploymentPositionOrganizationAssociationType,Organization,hasElement
EmploymentPositionOrganizationAssociationType,Status,hasElement
EmploymentPositionOrganizationAssociationType,EmploymentPositionOrganizationAssociationAugmentationPoint,hasElement
EmploymentPositionType,ObjectType,extends
EmploymentPositionType,EmploymentPositionBargainingExclusionAbstract,hasElement
EmploymentPositionType,EmploymentPositionBargainingUnitAbstract,hasElement
EmploymentPositionType,EmploymentPositionBasisAbstract,hasElement
EmploymentPositionType,EmploymentPositionDepartmentName,hasElement
EmploymentPositionType,EmploymentPositionDutyText,hasElement
EmploymentPositionType,EmploymentPositionEssentialIndicator,hasElement
EmploymentPositionType,EmploymentPositionEssentialLanguage,hasElement
EmploymentPositionType,EmploymentPositionIdentification,hasElement
EmploymentPositionType,EmploymentPositionLocation,hasElement
EmploymentPositionType,EmploymentPositionAbstract,hasElement
EmploymentPositionType,EmploymentPositionRequiredEducationAbstract,hasElement
EmploymentPositionType,EmploymentPositionRequiredJobSkillAbstract,hasElement
EmploymentPositionType,EmploymentPositionSecurityClearanceLevelAbstract,hasElement
EmploymentPositionType,EmploymentPositionSupervisoryPosition,hasElement
EmploymentPositionType,EmploymentPositionTemporaryIndicator,hasElement
EmploymentPositionType,EmploymentPositionAugmentationPoint,hasElement
EmptyReasonCodeType,EmptyReasonCodeSimpleType,extends
EncounterClassificationType,ObjectType,extends
EncounterClassificationType,EncounterCategoryAbstract,hasElement
EncounterClassificationType,EncounterClassificationAugmentationPoint,hasElement
EntityType,ObjectType,extends
EntityType,EntityRepresentation,hasElement
EntityType,EntityLegalIndicator,hasElement
EntityType,EntityAugmentationPoint,hasElement
EquipmentType,ItemType,extends
EquipmentType,EquipmentIdentification,hasElement
EquipmentType,EquipmentName,hasElement
EquipmentType,EquipmentAugmentationPoint,hasElement
FacilityAssociationType,AssociationType,extends
FacilityAssociationType,Facility,hasElement
FacilityAssociationType,FacilityAssociationAugmentationPoint,hasElement
FacilityDocumentAssociationType,AssociationType,extends
FacilityDocumentAssociationType,Facility,hasElement
FacilityDocumentAssociationType,Document,hasElement
FacilityDocumentAssociationType,FacilityDocumentAssociationAugmentationPoint,hasElement
FacilityFunctionType,ObjectType,extends
FacilityFunctionType,FacilityFunctionAbstract,hasElement
FacilityFunctionType,FacilityFunctionAugmentationPoint,hasElement
FacilityImageAssociationType,AssociationType,extends
FacilityImageAssociationType,Facility,hasElement
FacilityImageAssociationType,Image,hasElement
FacilityImageAssociationType,FacilityImageAssociationAugmentationPoint,hasElement
FacilityPersonAssociationType,AssociationType,extends
FacilityPersonAssociationType,Facility,hasElement
FacilityPersonAssociationType,Person,hasElement
FacilityPersonAssociationType,FacilityPersonAssociationAugmentationPoint,hasElement
FacilitySiteAssociationType,AssociationType,extends
FacilitySiteAssociationType,Facility,hasElement
FacilitySiteAssociationType,Site,hasElement
FacilitySiteAssociationType,FacilitySiteAssociationAugmentationPoint,hasElement
FacilitySubFacilityAssociationType,AssociationType,extends
FacilitySubFacilityAssociationType,ParentFacility,hasElement
FacilitySubFacilityAssociationType,SubFacility,hasElement
FacilitySubFacilityAssociationType,FacilitySubFacilityAssociationAugmentationPoint,hasElement
FacilityType,ObjectType,extends
FacilityType,FacilityIdentification,hasElement
FacilityType,FacilityName,hasElement
FacilityType,FacilityCategory,hasElement
FacilityType,FacilityLocation,hasElement
FacilityType,FacilityContactInformation,hasElement
FacilityType,FacilityContainsItem,hasElement
FacilityType,FacilityCapacityDescriptionText,hasElement
FacilityType,FacilityCapacityQuantity,hasElement
FacilityType,FacilityDescriptionText,hasElement
FacilityType,FacilityMaxOccupancyQuantity,hasElement
FacilityType,FacilityMemberCategoryText,hasElement
FacilityType,FacilityOperatingSchedule,hasElement
FacilityType,FacilityOperationalStatus,hasElement
FacilityType,FacilitySecurityLevelAbstract,hasElement
FacilityType,FacilitySiteDiagram,hasElement
FacilityType,FacilitySystemIdentification,hasElement
FacilityType,FacilitySystemIPAddressID,hasElement
FacilityType,FacilityUsage,hasElement
FacilityType,FacilityAugmentationPoint,hasElement
FinancialAccountHolderCodeType,FinancialAccountHolderCodeSimpleType,extends
FinancialAccountHolderType,EntityType,extends
FinancialAccountHolderType,FinancialAccountHolderCode,hasElement
FinancialAccountHolderType,FinancialAccountHolderAugmentationPoint,hasElement
FinancialAccountNumberCategoryCodeType,FinancialAccountNumberCategoryCodeSimpleType,extends
FinancialAccountType,ObjectType,extends
FinancialAccountType,FinancialAccountCategoryText,hasElement
FinancialAccountType,FinancialAccountListedName,hasElement
FinancialAccountType,FinancialAccountNumberID,hasElement
FinancialAccountType,FinancialAccountPresentBalanceAmount,hasElement
FinancialAccountType,FinancialAccountClosedIndicator,hasElement
FinancialAccountType,FinancialAccountHolder,hasElement
FinancialAccountType,FinancialAccountAugmentationPoint,hasElement
FiscalYearDateType,gYear,extends
FullTelephoneNumberType,ObjectType,extends
