name,base,baseLocal,childCount,children,documentation,kind
PersonType,structures:ObjectType,ObjectType,84,"[""PersonAccentText"", ""PersonAgeDescriptionText"", ""PersonAgeMeasure"", ""PersonBirthDate"", ""PersonBirthLocation"", ""PersonBloodTypeAbstract"", ""PersonBodyXRaysAvailableAbstract"", ""PersonBuildAbstract"", ""PersonCapability"", ""PersonCircumcisionIndicator"", ""PersonCitizenship"", ""PersonComplexionAbstract"", ""PersonDeathDate"", ""PersonDependentQuantity"", ""PersonDescriptionText"", ""PersonDigitalImage"", ""PersonDigitizedSignatureImage"", ""PersonDisguiseDescriptionText"", ""PersonOrganDonorAbstract"", ""PersonEducation"", ""PersonEmployedIndicator"", ""PersonEthnicityAbstract"", ""PersonEyeColorAbstract"", ""PersonEyewearAbstract"", ""PersonFacialHairAbstract"", ""PersonGeneralAppearanceDescriptionText"", ""PersonHairAppearanceText"", ""PersonHairCategoryAbstract"", ""PersonHairColorAbstract"", ""PersonHairLengthAbstract"", ""PersonHairStyleAbstract"", ""PersonHandednessAbstract"", ""PersonHeightDescriptionText"", ""PersonHeightMeasure"", ""PersonHumanResourceIdentification"", ""PersonInjury"", ""PersonJewelryDescriptionText"", ""PersonJobTitleText"", ""PersonLanguageEnglishIndicator"", ""PersonLearningDisabilityAbstract"", ""PersonLicenseIdentification"", ""PersonLivingIndicator"", ""PersonMedicalCondition"", ""PersonMedicalDescriptionText"", ""PersonMedicalFileIndicator"", ""PersonMedicationRequiredText"", ""PersonMentalStateAbstract"", ""PersonMilitarySummary"", ""PersonMoodDescriptionText"", ""PersonName"", ""PersonNationalIdentification"", ""PersonOrganDonorIndicator"", ""PersonOtherIdentification"", ""PersonPassportIdentification"", ""PersonPhysicalDisabilityText"", ""PersonPhysicalFeature"", ""PersonPrimaryLanguage"", ""PersonPronounsAbstract"", ""PersonRaceAbstract"", ""PersonReligionAbstract"", ""PersonResidenceAddress"", ""PersonResidentAbstract"", ""PersonSecondaryLanguage"", ""PersonSecurityClearanceAbstract"", ""PersonSexAbstract"", ""PersonSexualOrientationAbstract"", ""PersonSkinToneAbstract"", ""PersonSpeechDescriptionText"", ""PersonSSNIdentification"", ""PersonStateIdentification"", ""PersonTaxIdentification"", ""PersonUnemploymentStatus"", ""PersonUnionStatusAbstract"", ""PersonUSCitizenIndicator"", ""PersonVisionPrescriptionText"", ""PersonWeightDescriptionText"", ""PersonWeightMeasure"", ""PersonXRayImage"", ""PersonNationality"", ""PersonContactInformation"", ""EmployeeContactInformation"", ""PersonEmergencyContactInformation"", ""PersonHomeContactInformation"", ""PersonAugmentationPoint""]",A data type for a human being.,complexContent-extension
PersonUnionAssociationType,nc:PersonAssociationType,PersonAssociationType,7,"[""PersonDisunion"", ""PersonUnionCertificateIndicator"", ""PersonUnionLocation"", ""PersonUnionSeparation"", ""PersonUnionCategoryAbstract"", ""PersonUnionStatusAbstract"", ""PersonUnionAssociationAugmentationPoint""]",A data type for an association between two persons who are in a state of union with each other.,complexContent-extension
PersonUnionCategoryCodeType,nc:PersonUnionCategoryCodeSimpleType,PersonUnionCategoryCodeSimpleType,0,[],A data type describing the legally recognized union between two persons.,simpleContent-wrapper
PersonUnionSeparationType,nc:ActivityType,ActivityType,3,"[""SeparationCategoryAbstract"", ""SeparationDateRange"", ""PersonUnionSeparationAugmentationPoint""]",A data type for a separation of the parties in a Person Union.,complexContent-extension
PersonUnionStatusCodeType,nc:PersonUnionStatusCodeSimpleType,PersonUnionStatusCodeSimpleType,0,[],A data type describing the legal status of a person's union with another person.,simpleContent-wrapper
PersonWorkerAssociationType,nc:AssociationType,AssociationType,4,"[""Person"", ""PersonWorker"", ""Activity"", ""PersonWorkerAssociationAugmentationPoint""]",A data type for an association between a person and a person assigned to do work for or on behalf of that person.,complexContent-extension
PhysicalFeatureType,structures:ObjectType,ObjectType,6,"[""PhysicalFeatureGeneralCategoryAbstract"", ""PhysicalFeatureCategoryAbstract"", ""PhysicalFeatureDescriptionText"", ""PhysicalFeatureImage"", ""PhysicalFeatureLocationText"", ""PhysicalFeatureAugmentationPoint""]",A data type for a prominent or easily identifiable aspect of something or someone.,complexContent-extension
PlanType,structures:ObjectType,ObjectType,19,"[""PlanActivationDecisionText"", ""PlanApprovalDate"", ""PlanApprovalEntity"", ""PlanAssignedPerson"", ""PlanComment"", ""PlanCreatedDate"", ""PlanDateRange"", ""PlanEstimatedFulfillmentDate"", ""PlanIdentification"", ""PlanName"", ""PlanOperationalObjectiveText"", ""PlanPurposeText"", ""PlanReleaseDate"", ""PlanReport"", ""PlanRevisionReleaseDate"", ""PlanTargetOutcomeText"", ""PlanTask"", ""PlanUpdatedDate"", ""PlanAugmentationPoint""]",A data type for a detailed proposal for doing or achieving something.,complexContent-extension
PolygonRegionType,structures:ObjectType,ObjectType,2,"[""PolygonNodeLocation"", ""PolygonRegionAugmentationPoint""]",A data type for a polygon area identified by a set of coordinates.,complexContent-extension
PositiveIntegerListType,nc:PositiveIntegerListSimpleType,PositiveIntegerListSimpleType,0,[],A data type for a white space-delimited list of positive integers.,simpleContent-wrapper
